flight_id,latitude,longitude,region,popularityScore
1,49.9215,18.5827,Middle East,40
2,23.8276,49.0248,Middle East,47
3,56.1625,44.6014,Middle East,91
4,48.014,9.8223,Europe,6
5,45.5415,14.9965,Asia,80
6,31.6935,33.0161,Middle East,81
7,38.2644,26.3432,Middle East,86
8,49.0315,7.7028,North America,44
9,23.2889,44.4062,Europe,79
10,23.5094,28.7486,Middle East,71
11,38.2158,27.1707,Europe,61
12,39.4328,26.7977,North America,52
13,53.1221,-8.3121,Asia,4
14,27.5225,-1.0103,Asia,53
15,45.4668,40.3522,Asia,24
16,27.6429,47.8427,Middle East,77
17,33.6757,21.8781,North America,95
18,27.3552,45.2823,South America,21
19,40.605,43.0666,North America,26
20,54.1053,10.6786,Middle East,20
21,56.1705,16.2927,Middle East,37
22,40.5727,34.8443,Europe,72
23,32.9421,47.2297,North America,72
24,42.5152,43.5753,North America,59
25,21.0937,29.6977,Europe,27
26,49.7474,44.3414,Middle East,88
27,58.5246,23.1332,Asia,36
28,29.5001,43.161,Middle East,21
29,32.1074,19.1293,Middle East,68
30,24.6555,28.4466,South America,100
31,48.2782,31.6808,Middle East,18
32,26.4732,37.0455,Europe,61
33,32.4559,31.3075,Europe,30
34,20.8888,40.0285,Asia,38
35,33.7207,21.5146,North America,41
36,33.8322,12.6005,South America,68
37,58.0893,14.2268,Europe,89
38,48.7996,-4.7783,North America,25
39,53.3111,30.1763,Europe,26
40,27.1202,-1.6227,North America,41
41,46.9228,16.4711,South America,92
42,35.8732,24.2912,Europe,96
43,59.3049,30.3378,Europe,50
44,58.6006,49.5411,North America,37
45,34.9424,32.2144,Asia,99
46,20.2037,11.4175,Europe,28
47,24.9327,11.54,Middle East,5
48,56.8556,37.9807,North America,78
49,41.2562,46.5095,South America,38
50,43.4487,46.7994,North America,100
52,70.00518304892071,-131.01575139129434,Europe,0
